sceneId,prevId,text,option1Txt,option1NextId,option2Txt,option2NextId,option3Txt,option3NextId,token,altNum
0,0,"All is dark. You float on a sea of nothingness with no knowledge of who,when and where you are.",,,Open your eyes,1,,,,
1,0,"You open your eyes to a blank sea of distant gleams. You feel weightless, like theres no gap between you and the space around you. Where were you before this you think...it's hard to imagine anything before this. As you continue to gaze, you see three distinct shapes in the distance, though what they represent is still unclear",Move towards the left,2,Go straight ahead,3,Move towards the right,4,,
2,1,"You see what looks like...a giant telescope,  with banners of gold around the elipses, poking through the roof of a structure. The structure has a globe like roof, but the base seems to stretch downwards for eternity. The rims of both the orb and the telescope have runic lettering you don't understand. but you can clearly see the viewing glass shine through a small gap in the doorway. ",Look another direction.,"3,4",Go into the building to look through the looking glass,5,Look towards the base of the building,11,,
3,1,"You see a great sphere of water, like a planet made entirely of ocean, only it undulates and crashes like in a permanent storm. There is one exception to this movement; a calm sliver like a stream that seems to stretch out into the vast beyond. Its mouth seems to be somewhere on the surface of the globe, but its very hard to see.",Look another direction.,"2,4",,,Take a closer look,52,,
4,1,"You see a forest erupt from a great floating land mass, like an upturned mountain with a billion green feet on its belly. Even from a distance, you can see some force working on the trees: not wind, but perhaps, animals of some kind?",Look another direction.,"2,3",,,Take a closer look,14,,
5,2,"You look through the telescope to see, out there in the great abyss of darkness and stars, what look like smoke rings, eminating up from an imaginary mouth in the darkness. They appear to form a slanted invisible column that reaches out into the dark.",Try to zoom in closer,6,Try to move the telescope to look around,7,Leave the telescope,10,,
6,5,"The smoke rings seem to be made up of spirits, or people, or the shape of either, it's hard to tell. Sometimes you see a swimming mermaid like shape, next just a speaking mouth; it's always shifting",Leave the telescope,10,,,Try to move the telescope to look around,7,,
7,"5, 6","It's huge, and won't easily budge",Leave the telescope,10,,,Look for another way to move it,"8,9",,
8,7,You find nothing of note,,,Go back ,10,,,,
9,7,"You glance around the sparce room, and, out from under a pile of papers depicting more runes, you see the gleam of an old-timey compass. As you touch it, the arrow leans, and the telescope follows the same direction. It's like it knew what you were trying to do. Looking through the lense, you see a dark shape block out the rings for a second. It looks like...a giant crow? It must be at least 30ft across!",,,Leave the telescope,10,,,Crow sighting,
10,"6,7,8,9, 15 ","Now that you've seen what's out there, you know what you've got to do! ",,,Head towards the rings.,12,,,,
11,2,"You look down but there's no end in sight, like looking at a dot that beams out the building like a ray of light from infinite distance",,,Go back,2,,,,
12,10,"As you step out into the dark again, you realise, your powers of flight are limitless:  you choose a direction, and you go go go. What are you? You still feel like you, but  sense doesn't seem to be a part of it",Keep going towards the rings,15,Fly into the void,16,Fly back the way you came,13,,
13,12,"Swooping, diving, whizzing around with no body but somehow a feeling of fun, you see the shapes from before, but now you can take sweeping looks. One is a great ball of water with a single stream that also dissappears into the distance. The other looks like a floating land mass covered in trees",Fly down to the ocean,52,Fly down to the forest ,14,Fly into the endless void,16,,
14,,,,,,,,,,
15,12,"You approach the rings. Up close they're even more etherial and gasseous, but so vast they look like rings of saturn. On top of the spirit-built structure there are seemingly more human, more solid looking people, either dancing gleefully above them, or looking deeply into the center",Fly past the rings into the darkness,16,,,Fly into the group of people,19,,
16,"12, 15, 17","You drift through an endless void it takes a while! As you persist, the star like glows begin to fade away, leaving nothing but murky darkness with the odd grey polkadot on its surface",Keep going,17,,,Go back towards the rings,15,,
17,"16, 18",Darkness. Nothing. Apart from...what's that noise?,Keep going,18,,,Turn back,16,,
18,17,"It sounds like an almighty bark, or...caw ? You're definitely getting closer",Keep going ,51&,,,Turn back,17,,
19,15,You are greeted by many waving hands and smiling faces. A welcome party of people you've never seen before beckon you down to the spirit coastline,Look into the centre of the ring,21,Go towards the people ,20,Touch the smoke ring,30,,
20,"19,21, 30","""Welcome! How was the transition? Are you ready to follow the path to your next life?""",Next life...?,,,,Look into the rings,21,,
21,"19, 30","You see yet another vast universe below, but this is more clustered, like a single galaxy floating in the dark",Touch the smoke rings,30,Go towards the enclosed galaxy,"22&,24",Greet the people,20,,"Crow sighting, 23"
22,"21,23, 24, 28","As you reach the skin between the current void and the next, you feel a rush of darkness surround you, and where you felt weightless before, you suddenly feel heavy, as you are gulped down into the monsterous belly of some shadowy beast...",,<>,,,,,,
23,21,"You drift foward but remember, you saw a monsterous crow in this direction, and sure enough, you begin to hear the beating of giant wings. You have a brief moment to turn back",Turn back,25,,,Push forward,22,,
24,21,"You hear people calling again, but this time more urgent and panicked. You see an enormous winged shadow descending towards you",Push forward,22,,,Turn back,25,,
25,"23,24","You launch yourself back towards the edges just as two black talons grasp the space you once were. You realise in this moment you can emit noises, since you find yourself yelping with fear. You turn to the onlookers ""what was that thing? A kind looking woman replied: 'Oh it's the guardian, but don't feel embarrassed. One or other person does the same thing now and again. It's not a monster, we've learned. It's there to make sure you don't reach your next life until you're ready, and also apparently brings people here too, from Earth I mean.""",,,Next life...?,25,,,,
